category,fsq_id,name,latitude,longitude,address,PC6
Car Wash and Detail,4bd2a514caff9521f747d3f0,McWASH Autowascentrum,52.042604,4.244925,De Werf 44,2544EH
Office Building,4e48eda67d8b91a065aea1f8,Afvalbrengstation,52.043631,4.246148,De Werf 13,2544EH
Event Service,4ce6b6fd595cb1f715fdbd14,Condor City,52.028281,4.253935,Poeldijkseweg 47,2544NS
Event Space,4ce6b6fd595cb1f715fdbd14,Condor City,52.028281,4.253935,Poeldijkseweg 47,2544NS
General Contractor,b189202b55b94c6ab6b21326,Flaman Onderhoudsbedrijf,52.033618,4.25723,Riddersdreef 14,2542XX
Painter,b189202b55b94c6ab6b21326,Flaman Onderhoudsbedrijf,52.033618,4.25723,Riddersdreef 14,2542XX
Health and Beauty Service,4b5fb1cfdee84b8124b9c5d0,Ceylan Beauty- & Hairsalon,52.033462,4.25895,De Dreef 38,2542NJ
Construction,97006bb86bdb430521360314,Loonbedrijf Yasin,52.036682,4.25619,Lagezijde 24,2543XN
Professional Cleaning Service,1cff0fddb9da480d20d84bfb,Marita Schoonmaakbedrijf,52.035172,4.259335,Dorpersdreef 22/A,2542XE
General Contractor,3f4653c9c9cd4039389d4c11,Daw Tychy,52.040037,4.255089,Hengelolaan 1224,2544GV
General Contractor,0b34a7e27e8545dced495d1c,Brandt Klusbedrijf M,52.04027,4.250029,Rietveen 89,2544RS
Automotive Repair Shop,7230cc99b1d443faf3ceb269,Alexdan Klus- en Onderhoudsbedrijf,52.039665,4.260228,Woonstede 19,2543VM
General Contractor,8ea563ff866a43a1957bbdb1,Sarilkan Loonbedrijf,52.039721,4.260266,Woonstede 19,2543VM
Business and Professional Services,97f4b4c8f51543ee51dafe6d,G en O Gevel Onderhoud Techniek,52.039734,4.260362,Woonstede 9,2543VM
Automotive Repair Shop,494317c5459c473b5db04f7a,Prisma-Sa,52.041487,4.260689,Winkelstede 12,2543BP
Construction,373c03caffca4e19e6f89de0,Habczyk L,52.037568,4.271236,Schrijnwerkersgaarde 59,2542TR
Professional Cleaning Service,306f72baf384459935d5e4cd,Schoonmaakbedrijf MTS,52.04038,4.270894,Wolweversgaarde 118,2542AV
Office,4b7954b8f964a5205ef42ee3,Werkplein Haaglanden,52.050959,4.255327,Platinaweg 10,2544EZ
Recording Studio,58fe4457c530932d7ad1c687,Studio Www.radioliveoranje.nl,52.052,4.256299,Goudlaan 67,2544EG
Office,4ecbf19461afbf06d988472b,Opmeer papier pixels projecten,52.051969,4.258192,Kerketuinenweg 8,2544CV
Automotive Repair Shop,4d3825959784a0933158dde8,Wittebrug Autoschade,52.047747,4.254265,Zilverstraat 140,2544EL
Office Building,4dd25e54b0fb0becaf960579,Gemeente Reiniging,52.042921,4.245826,Werf,2544EK
Computer Repair Service,ee111c426e2c4eb1bed86586,Skyweb Solutions,52.046164,4.252662,Zichtenburglaan 31,2544EA
Construction,05a34a91f3f74e6022110901,Fatih Yesilkaya,52.04829,4.260899,Dassenrade 14,2544MG
Photographer,209cc0360d814469b5c61e4f,Boom Beth,52.049341,4.2644,Dedemsvaartweg 129,2545AP
Business and Strategy Consulting Office,45435c73da29472489d1ac2b,Pufi,52.045115,4.26221,Otterrade 60,2544JB
Computer Repair Service,9dd6ec6523e94560eae7a004,Hr4Ict Vof,52.047257,4.269502,Norgstraat 9,2545TT
Business and Strategy Consulting Office,d0884f62384841552381185d,BetaSupport,52.040765,4.279596,Dedemsvaartweg 1192,2545BJ
Office Building,4e05b5d818a8382643a8976e,Scouting de Eendenkooi,52.052505,4.281007,Marie Heinenweg,2533SX
Bank,4de3795cd164df85751306b5,ABN AMRO,52.047533,4.277086,Leyweg 707/QR,2545GL
Health and Beauty Service,4c7e6f2b3b22a1cd22c2619e,BobLine,52.056043,4.272721,Vreeswijkstraat 228,2546AR
Health and Beauty Service,4ee21aec30f87dc0a688cbbb,Wensa Hairstyling,52.06006,4.274509,"Werkhovenstraat, 2546 Leyenburg",2546TG
Office,51e53bdb498e02caaf937437,Online Translations,52.059686,4.273645,Raamsteeg 2a,2546BC
Automotive Repair Shop,f79479d6c8164f7b3d04fbe6,Bosch Klein Onderhoud Van den,52.05084,4.297536,Pieter Langendijkstraat 51,2533TE
Employment Agency,99598aae9bff4411513b52a6,Selektro Prints,52.058082,4.294481,Troelstrakade 17,2531AA
Computer Repair Service,b3e604d110d947d749d964a3,Martin Overmars,52.04649,4.295171,Nettelhorststraat 120,2532BT
Real Estate Service,e5a9a2a128db42b2c6fe5537,Imran Vastgoed BV,52.050576,4.3031,Verwoldestraat 12,2531HR
Daycare,90d3ce2c31bf47eee7608777,Peuterspeelzaal Het Peuterbos,52.05227,4.304433,Erasmusweg 68,2532CR
Business and Professional Services,f469d2f3319c45adc6de668c,Rijnaard Schoonmaak & Onderhoud,52.047266,4.284388,Vriezenveenstraat 3,2541CB
General Contractor,89edf47eae544afa0a9a7c49,Agrarisch loonbedrijf MEHDA,52.05263,4.305549,Schoonhetenstraat 12,2531RM
Business and Strategy Consulting Office,a74a469114b4431c0d902a2c,Ancla Bouwkundig Advies Bureau,52.043858,4.296069,Guntersteinweg 377 kamer 2.19,2531KB
Business and Strategy Consulting Office,e029d8ef3ce8430738b911da,LB Verkeersadvisering,52.053559,4.276419,Dalfsenstraat 14,2541VS
Barbershop,16ea4a565f3f4e25762e18f8,Kapsalon Nurhan,52.04957,4.274476,Leyweg 559,2545GH
Construction,7580614d95a140aaa08d71aa,Amazing Marmer 1,52.043023,4.277833,Haveltestraat 249,2541SB
Construction,449a48ae88714392cd28fa70,Joostverkamman.nl,52.059896,4.273005,Maarsbergenstraat 30,2546SR
